epoch,train_loss,train_acc,val_loss,val_acc
0,1.823777,29.8413,1.950606,16.6667
1,1.400542,53.3333,2.065379,16.6667
2,1.092293,60.9524,2.243761,19.0476
3,0.913416,64.1270,2.690132,19.0476
4,0.736222,74.2857,2.656772,21.4286
5,0.655984,76.1905,3.232277,45.2381
6,0.623848,79.3651,1.835112,54.7619
7,0.462813,85.0794,1.989456,47.6190
8,0.385807,86.3492,2.463749,38.0952
9,0.500756,84.1270,1.561925,59.5238
10,0.401756,83.4921,1.804284,61.9048
11,0.335565,88.5714,0.848356,71.4286
12,0.291242,89.2063,1.234733,57.1429
13,0.291553,91.7460,1.521597,64.2857
14,0.247410,92.6984,0.706232,83.3333
15,0.179495,95.2381,1.301803,69.0476
16,0.224757,93.0159,1.140581,59.5238
17,0.219363,91.4286,1.365896,76.1905
18,0.189410,92.3810,2.419104,47.6190
19,0.184799,93.0159,2.089798,57.1429
20,0.112974,96.8254,0.630398,78.5714
21,0.109967,95.8730,0.685183,85.7143
22,0.076710,97.4603,0.613396,73.8095
23,0.096949,96.8254,1.171914,73.8095
24,0.079437,96.5079,1.641206,66.6667
25,0.154207,94.2857,2.555466,61.9048
26,0.104029,97.1429,2.252049,66.6667
27,0.142660,95.5556,3.470022,59.5238
28,0.176123,93.3333,2.778104,59.5238
29,0.325076,90.4762,2.203496,64.2857
30,0.179425,92.3810,3.095361,59.5238
31,0.163274,95.2381,3.791255,33.3333
32,0.086787,96.5079,0.754269,78.5714
33,0.113352,96.8254,1.120617,69.0476
34,0.136831,94.9206,1.673950,71.4286
35,0.132319,97.1429,1.230296,71.4286
36,0.056601,99.3651,0.701619,85.7143
37,0.039570,98.7302,0.600368,88.0952
38,0.053524,98.7302,0.573842,88.0952
39,0.022023,99.6825,0.925352,85.7143
40,0.037461,98.7302,0.774665,85.7143
41,0.026027,98.7302,0.969141,80.9524
42,0.017340,99.6825,1.197760,83.3333
43,0.029483,99.6825,0.938730,71.4286
44,0.008176,100.0000,0.480548,83.3333
45,0.005098,100.0000,0.615060,83.3333
46,0.025484,99.3651,0.879602,88.0952
47,0.019582,99.3651,1.277998,83.3333
48,0.019411,99.6825,0.955447,83.3333
49,0.013765,99.6825,1.212657,73.8095
50,0.016250,99.6825,1.275331,78.5714
51,0.023206,99.0476,0.984912,88.0952
52,0.029551,99.0476,0.852196,83.3333
53,0.029416,99.0476,1.433401,80.9524
54,0.029235,99.3651,1.390487,78.5714
55,0.018832,99.6825,1.078889,85.7143
56,0.015087,99.3651,1.589673,76.1905
57,0.004533,100.0000,1.516220,78.5714
58,0.017660,99.3651,3.553623,57.1429
59,0.023115,99.3651,1.372728,71.4286
60,0.012750,99.3651,0.832483,88.0952
61,0.038709,98.7302,2.327220,61.9048
62,0.067113,98.4127,1.276655,83.3333
0,1.834685,30.1587,1.951864,16.6667
1,1.389479,55.5556,2.085272,11.9048
2,1.079397,61.9048,2.243653,19.0476
3,0.926587,66.9841,2.618448,16.6667
4,0.738045,74.9206,2.233898,50.0000
5,0.592339,79.6825,2.856114,50.0000
6,0.576501,77.4603,2.277365,59.5238
7,0.554245,80.3175,1.400047,54.7619
8,0.442636,85.7143,3.568393,33.3333
9,0.578583,82.2222,1.495919,57.1429
10,0.401285,87.3016,0.800883,69.0476
11,0.332703,88.2540,0.837991,76.1905
12,0.264398,90.4762,1.911909,61.9048
13,0.199840,93.6508,0.874757,76.1905
14,0.224951,91.7460,1.710014,50.0000
15,0.181028,93.3333,0.814841,85.7143
16,0.199176,93.6508,1.263656,66.6667
17,0.261718,91.1111,6.452290,38.0952
18,0.199402,93.9683,2.818682,52.3810
19,0.269443,91.7460,0.807257,76.1905
20,0.116201,96.1905,0.767464,83.3333
21,0.158288,93.9683,0.964524,78.5714
22,0.140054,95.5556,1.844209,66.6667
23,0.208322,92.3810,1.902707,64.2857
24,0.123931,95.5556,1.254174,71.4286
25,0.121926,94.9206,0.797122,90.4762
26,0.103220,96.8254,0.622278,85.7143
27,0.064198,97.7778,1.287904,73.8095
28,0.106491,95.2381,1.424869,71.4286
29,0.152415,95.5556,1.528455,78.5714
30,0.086356,96.5079,2.145319,64.2857
31,0.073829,98.0952,1.049939,76.1905
32,0.044397,98.7302,1.192298,69.0476
33,0.033634,99.0476,0.689076,76.1905
34,0.037767,99.0476,0.813174,80.9524
35,0.085962,96.8254,0.911494,83.3333
36,0.038786,99.0476,0.981517,78.5714
37,0.139712,96.5079,2.766552,61.9048
38,0.137873,95.8730,1.685769,69.0476
39,0.062292,98.0952,0.964585,80.9524
40,0.063595,98.0952,1.369451,69.0476
41,0.080991,97.1429,0.794990,78.5714
42,0.027391,99.3651,1.297787,71.4286
43,0.030005,98.4127,0.566149,88.0952
44,0.026760,99.0476,1.128029,78.5714
45,0.034903,99.0476,0.946123,85.7143
46,0.034534,99.0476,0.602657,88.0952
47,0.010330,100.0000,3.029527,66.6667
48,0.091885,97.1429,0.811105,88.0952
49,0.065077,97.7778,1.641550,69.0476
50,0.046288,99.0476,0.646653,83.3333
